ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_DELITO,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,LEY,MUNICIPIO,HABITANTES,PREDOMINANCIA,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,MEDELLÍN,2569007,URBANO,Colombia,MASCULINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,MEDELLÍN,2569007,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INVESTIGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,SI,Ley 906,EL BAGRE,51150,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,SI,NO,Ley 906,SOLEDAD,700970,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BARRANQUILLA,1239804,URBANO,Colombia,MASCULINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,3
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,5
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,MASCULINO,4
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,3
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,JUICIO,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,SI,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,2
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,TERMINACIÓN ANTICIPADA,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,SI,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,RURAL,Colombia,FEMENINO,9
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,MASCULINO,2
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,INACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,6
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,EL CARMEN DE BOLÍVAR,79606,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Caldas,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,PÁCORA,10608,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,ARGELIA,8036,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,POPAYÁN,288636,URBANO,Colombia,FEMENINO,1
2016,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,VALLEDUPAR,503444,URBANO,Colombia,FEMENINO,1
